dataset,subject_id,model,seed,protocol,epoch,train_loss,val_score,best_epoch,epochs_completed,is_best_epoch
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,35,-0.015932220325339586,0.2148081662133336,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,36,-0.024978503584861755,0.1993086670214931,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,37,-0.04602216463536024,0.21871756352484226,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,38,-0.04282532073557377,0.20269519596671065,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,39,-0.032352432142943144,0.19992233688632646,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,40,0.004712505266070366,0.21660904722909133,31,41,False
weissbart_tf64,P12,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,41,-0.047077068127691746,0.20806336464981237,31,41,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,1,1.0161466896533966,0.01006797030568123,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,2,0.4400038458406925,-0.011661955026890306,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,3,0.3238903805613518,0.024128658262391887,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,4,0.30253341794013977,0.016131649600962798,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,5,0.2327779084444046,0.007417058758437634,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,6,0.23586413264274597,0.03902562901688119,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,7,0.2158939689397812,0.016429606097517535,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,8,0.20004314929246902,0.016075106042747696,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,9,0.14835933409631252,0.004717778538664182,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,10,0.1881202682852745,0.008069404711325964,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,11,0.21945061534643173,0.03318798234686256,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,12,0.16078569926321507,0.023920948834468922,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,13,0.12214712798595428,0.03627233182390531,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,14,0.16323638893663883,0.02198030827275943,37,47,False
weissbart_tf64,P11,happyquokka,0,gate0_gate2_subject_specific_happyquokka_seeded_weissbart_full_v1,15,0.16937720775604248,0.058804583425323166,37,47,False
