dataset,label,g_con,epoch,train_loss,val_loss,val_metric,lr
hugo_sample_tf64,NULL g_con=True,True,1,1.1307030769042026,1.0657878915468852,0.160467840022503,0.0001
hugo_sample_tf64,NULL g_con=True,True,2,1.0656783850595293,1.0519285238706149,0.17359765759036422,0.0001
hugo_sample_tf64,NULL g_con=True,True,3,1.042937149726805,1.0227160521042653,0.19962932464833824,0.0001
hugo_sample_tf64,NULL g_con=True,True,4,1.0237106050483484,1.0161412755648296,0.20622684296775753,0.0001
hugo_sample_tf64,NULL g_con=True,True,5,1.0136506871431452,1.0053911756246519,0.2168265018468866,0.0001
hugo_sample_tf64,NULL g_con=True,True,6,0.9989663168726635,0.999815103946588,0.22059256803686134,0.0001
hugo_sample_tf64,NULL g_con=True,True,7,0.9867125538641534,0.98705546886493,0.2320962005772461,0.0001
hugo_sample_tf64,NULL g_con=True,True,8,0.973639901282856,0.9744496727601076,0.24409629713075284,0.0001
hugo_sample_tf64,NULL g_con=True,True,9,0.9641300797953036,0.9812840605393435,0.23961926255948268,0.0001
hugo_sample_tf64,NULL g_con=True,True,10,0.9545308349063858,0.9990960555198866,0.22110669827088714,0.0001
hugo_sample_tf64,NULL g_con=False,False,1,1.1208336014806488,1.116974372130174,0.11640534515564259,0.0001
hugo_sample_tf64,NULL g_con=False,False,2,1.0740558070900998,1.0566135378984305,0.1733302036145081,0.0001
hugo_sample_tf64,NULL g_con=False,False,3,1.0447450633402224,1.0496960838635763,0.17622634988660232,0.0001
hugo_sample_tf64,NULL g_con=False,False,4,1.0228872031831937,1.0467722311998024,0.18020564400686476,0.0001
hugo_sample_tf64,NULL g_con=False,False,5,1.0105886962188124,1.0304326295852662,0.1945029275247063,0.0001
hugo_sample_tf64,NULL g_con=False,False,6,0.99264789314427,1.0002644279064277,0.22190050447705942,0.0001
hugo_sample_tf64,NULL g_con=False,False,7,0.986056277781357,1.0160839420098524,0.20791688927759727,0.0001
hugo_sample_tf64,NULL g_con=False,False,8,0.9715466933485902,1.000464926316188,0.21971736227950225,0.0001
hugo_sample_tf64,NULL g_con=False,False,9,0.9601060728477352,0.9989154840127016,0.22326466339903,0.0001
hugo_sample_tf64,NULL g_con=False,False,10,0.9471901821992035,1.0014185367486417,0.2206080597682068,0.0001
weissbart_tf64,NULL g_con=True,True,1,1.1608029476409096,1.1137309630711874,0.1260835397373646,0.0001
weissbart_tf64,NULL g_con=True,True,2,1.0787068016735124,1.075127824758872,0.16259629003023013,0.0001
weissbart_tf64,NULL g_con=True,True,3,1.0484932695396643,1.063893723487854,0.16810536472520862,0.0001
weissbart_tf64,NULL g_con=True,True,4,1.0271451257383872,1.0530766679690435,0.18003901246791848,0.0001
weissbart_tf64,NULL g_con=True,True,5,1.0093600821102597,1.0476790914168725,0.1824511362454639,0.0001
weissbart_tf64,NULL g_con=True,True,6,0.9972293894477342,1.048282604951125,0.18215282710078054,0.0001
weissbart_tf64,NULL g_con=True,True,7,0.9814750145001666,1.0319925687251947,0.19868017978300578,0.0001
weissbart_tf64,NULL g_con=True,True,8,0.9699739387005936,1.0368412512999314,0.19266589601130152,0.0001
weissbart_tf64,NULL g_con=True,True,9,0.9521909341400052,1.0318423705223279,0.20083401382733615,0.0001
weissbart_tf64,NULL g_con=True,True,10,0.9427123911096236,1.0289454826941857,0.2084347455857847,0.0001
weissbart_tf64,NULL g_con=False,False,1,1.1381169219075897,1.0773308689777668,0.15480901127000554,0.0001
weissbart_tf64,NULL g_con=False,False,2,1.0818424077681552,1.0673553326191045,0.1639140264175904,0.0001
weissbart_tf64,NULL g_con=False,False,3,1.052139319755413,1.0773692439763973,0.16434171781636392,0.0001
weissbart_tf64,NULL g_con=False,False,4,1.0241064934573547,1.073584948441921,0.16025515192349513,0.0001
weissbart_tf64,NULL g_con=False,False,5,1.0053085284959142,1.0763111481299767,0.15926223095239272,0.0001
weissbart_tf64,NULL g_con=False,False,6,0.9851516522007224,1.0639750034381181,0.16923779954847235,0.0001
weissbart_tf64,NULL g_con=False,False,7,0.9690904006545926,1.0721258866481291,0.17024492932041774,0.0001
weissbart_tf64,NULL g_con=False,False,8,0.9523885551794076,1.0621237094585712,0.17259716651080034,0.0001
weissbart_tf64,NULL g_con=False,False,9,0.9380832221282362,1.0534427942373814,0.18049192082566712,0.0001
weissbart_tf64,NULL g_con=False,False,10,0.9172444863574495,1.0650375265341538,0.1765659465496309,0.0001
etard_tf64,NULL g_con=True,True,1,1.1428845587230865,1.0963262518246968,0.11961543371533676,0.0001
etard_tf64,NULL g_con=True,True,2,1.0964877621048972,1.0856821702881938,0.13226325109246231,0.0001
etard_tf64,NULL g_con=True,True,3,1.078901927031222,1.0637996077005352,0.14830841022371932,0.0001
etard_tf64,NULL g_con=True,True,4,1.0650050278930436,1.0585852611277784,0.15249047950196437,0.0001
etard_tf64,NULL g_con=True,True,5,1.0525216646137692,1.057374567059534,0.15443803838309395,0.0001
etard_tf64,NULL g_con=True,True,6,1.0410652259276028,1.053253173961171,0.1593721208188245,0.0001
etard_tf64,NULL g_con=True,True,7,1.0317580619738216,1.053041991644672,0.15870758263731877,0.0001
etard_tf64,NULL g_con=True,True,8,1.0236818222772508,1.0483488132733674,0.16379681787575032,0.0001
etard_tf64,NULL g_con=True,True,9,1.0154922379624276,1.0460350987989278,0.1657393996826418,0.0001
etard_tf64,NULL g_con=True,True,10,1.0061638013947578,1.0522495992481709,0.16224995525737454,0.0001
etard_tf64,NULL g_con=False,False,1,1.1428570069017865,1.105477706662246,0.11542434931055011,0.0001
etard_tf64,NULL g_con=False,False,2,1.110271536878177,1.0956825841040838,0.11900351375533362,0.0001
etard_tf64,NULL g_con=False,False,3,1.0904402616478148,1.0930812840483017,0.12461674908683476,0.0001
etard_tf64,NULL g_con=False,False,4,1.0743271091154643,1.0862425571041447,0.13009952987877546,0.0001
etard_tf64,NULL g_con=False,False,5,1.0633496244748433,1.0857031851829517,0.13268555782113772,0.0001
etard_tf64,NULL g_con=False,False,6,1.0495966047758147,1.0780450827663852,0.13753595823835071,0.0001
etard_tf64,NULL g_con=False,False,7,1.0387243937168802,1.0806605650023335,0.13379921747695162,0.0001
etard_tf64,NULL g_con=False,False,8,1.028856258661974,1.0808408627552646,0.1347409369405319,0.0001
etard_tf64,NULL g_con=False,False,9,1.020579272579579,1.0816295134524505,0.13310468604530407,0.0001
etard_tf64,NULL g_con=False,False,10,1.0081979504653387,1.083405318359534,0.13273095123570652,0.0001
