dataset,model,n_seeds,seed_list,mean_of_seed_means,std_of_seed_means,min_seed_mean,max_seed_mean,mean_of_fisher_z_means,backtransformed_mean_r
etard_tf64,adt,3,"0,42,2026",0.10088954305184787,0.0020755652934054433,0.09813953661517796,0.10315339686476518,0.10142623217525859,0.10107985737142655
etard_tf64,cca,3,"0,42,2026",0.06984980479699054,9.64652574940853e-09,0.06984979797586677,0.06984981843923808,0.07000033672781975,0.06988622539964949
etard_tf64,cnn,3,"0,42,2026",0.09370607356705125,0.0021944014339101156,0.0906041913926535,0.09533972929524641,0.09412000672765719,0.0938430649430724
etard_tf64,dnn,3,"0,42,2026",0.0580129665820582,0.0029157498273608327,0.05556214626926054,0.06211022377989497,0.058117219067389925,0.05805187489310405
etard_tf64,eegnet,3,"0,42,2026",0.10430241324403737,0.0010176183971118585,0.1028948861372075,0.10526592934482218,0.10485007338864966,0.10446753107980067
etard_tf64,fcnn,3,"0,42,2026",0.057508799473309724,0.003310336923746662,0.0545064762287123,0.062120754752264765,0.057613487897353786,0.0575498266685749
etard_tf64,ridge,3,"0,42,2026",0.1034136378789839,1.660311194069247e-07,0.1034135204772535,0.10341387268244476,0.1039562992161737,0.10358342876696511
weissbart_tf64,adt,3,"0,42,2026",0.1313679519790499,0.0036330245068918474,0.12652103226855665,0.1352674970593222,0.1323930882423425,0.13162494777187522
weissbart_tf64,cca,3,"0,42,2026",0.08938459326420561,0.0,0.08938459326420561,0.08938459326420561,0.08967939234857107,0.08943975091725277
weissbart_tf64,cnn,3,"0,42,2026",0.12465585381692688,0.0062920737630644185,0.115929565655191,0.13052704615581795,0.12547082440246918,0.12481651832890936
weissbart_tf64,dnn,3,"0,42,2026",0.09368308230631572,0.0018837630598800019,0.09177099322466188,0.09624560791037304,0.09409662162941067,0.09381988573531766
weissbart_tf64,eegnet,3,"0,42,2026",0.14221933487001945,0.002805395346488434,0.1392591880724037,0.14598709548030803,0.1433616862599948,0.14238754342208387
weissbart_tf64,fcnn,3,"0,42,2026",0.09319634889250006,0.0027566653751501845,0.09069164253440018,0.0970359091623331,0.09360706489700114,0.09333461591520976
weissbart_tf64,ridge,3,"0,42,2026",0.13318080735374047,0.0,0.13318080735374047,0.13318080735374047,0.13408715561156645,0.1332892924987115
