dataset,model,seed,condition,n_subjects,n_recordings,mean_pearson,median_pearson,std_pearson,negative_recording_count
etard_tf64,adt,0,clean,18,72,0.12177087049540096,0.11684060679837288,0.13071910784308713,13
etard_tf64,adt,0,fM,18,72,0.14416355206694342,0.1305217043512777,0.12334721626184521,7
etard_tf64,adt,0,fW,18,72,0.10505875670385838,0.11457853954141015,0.11658951163182715,14
etard_tf64,adt,0,hb,18,72,0.14487819657686282,0.1340351957178359,0.10973200004995871,8
etard_tf64,adt,0,lb,18,72,0.11496222707210135,0.10818077813808635,0.08718700083724625,4
etard_tf64,adt,0,mb,18,72,0.11674431155563189,0.11328436765208094,0.10810449487447704,8
etard_tf64,adt,42,clean,18,72,0.10699093952027242,0.11268698644271541,0.12472410199792106,10
etard_tf64,adt,42,fM,18,72,0.1521941260240897,0.15356451462591553,0.11992245982220465,7
etard_tf64,adt,42,fW,18,72,0.09792083456248896,0.10191148118890068,0.10066996252777392,14
etard_tf64,adt,42,hb,18,72,0.15920459650794028,0.1669246715266044,0.09874500329191348,3
etard_tf64,adt,42,lb,18,72,0.10806782042962035,0.10005510207484758,0.0734892869386237,4
etard_tf64,adt,42,mb,18,72,0.12077653530846415,0.12425908685805573,0.10482114024604772,9
etard_tf64,adt,2026,clean,18,72,0.10003275659100402,0.08077420972138095,0.11847022679206015,11
etard_tf64,adt,2026,fM,18,72,0.15604975231489332,0.15345141167357912,0.11486988381859362,6
etard_tf64,adt,2026,fW,18,72,0.09244227030944846,0.08850163876483261,0.10759341620290586,13
etard_tf64,adt,2026,hb,18,72,0.14494850704014398,0.14576664673804376,0.10193804505225446,6
etard_tf64,adt,2026,lb,18,72,0.11855361827423956,0.1148720387988248,0.0850535656895973,7
etard_tf64,adt,2026,mb,18,72,0.11099752206386192,0.10882357039809634,0.11346196764555425,13
etard_tf64,cca,0,clean,18,72,0.11255020935280048,0.09991983040879988,0.10774578141046666,11
etard_tf64,cca,0,fM,18,72,0.11691467816039498,0.12160704009826234,0.12562605396968238,13
etard_tf64,cca,0,fW,18,72,0.1072276767586689,0.11266426001743671,0.09602677351829768,11
etard_tf64,cca,0,hb,18,72,0.0894751019442851,0.0845405112576868,0.0990574569014978,12
etard_tf64,cca,0,lb,18,72,0.07840331874800181,0.08911199853414369,0.07340816377159727,11
etard_tf64,cca,0,mb,18,72,0.05801846754261893,0.056649936723610246,0.10134084559591079,23
etard_tf64,cca,42,clean,18,72,0.11255020935280048,0.09991983040879988,0.10774578141046666,11
etard_tf64,cca,42,fM,18,72,0.11691467816039498,0.12160704009826234,0.12562605396968238,13
etard_tf64,cca,42,fW,18,72,0.1072276767586689,0.11266426001743671,0.09602677351829768,11
etard_tf64,cca,42,hb,18,72,0.0894751019442851,0.0845405112576868,0.0990574569014978,12
etard_tf64,cca,42,lb,18,72,0.07840331874800181,0.08911199853414369,0.07340816377159727,11
etard_tf64,cca,42,mb,18,72,0.05801846754261893,0.056649936723610246,0.10134084559591079,23
etard_tf64,cca,2026,clean,18,72,0.11255033516166879,0.09991955993751989,0.10774589041090368,11
etard_tf64,cca,2026,fM,18,72,0.11691470047819832,0.12160704009826234,0.12562601237725277,13
etard_tf64,cca,2026,fW,18,72,0.1072277776956399,0.1126645419508919,0.0960268562496606,11
etard_tf64,cca,2026,hb,18,72,0.08947508124278032,0.08454012093952774,0.09905747361538622,12
etard_tf64,cca,2026,lb,18,72,0.07840331323916092,0.08911137592299126,0.07340825390187612,11
etard_tf64,cca,2026,mb,18,72,0.05801849927549522,0.056649936723610246,0.10134079524915471,23
etard_tf64,cnn,0,clean,18,72,0.146308555247936,0.15756757816342082,0.11542383047290913,5
etard_tf64,cnn,0,fM,18,72,0.1533806008201383,0.15051651046753228,0.11726979015217892,7
etard_tf64,cnn,0,fW,18,72,0.12203640396653949,0.12608216749201195,0.08976021837770645,4
etard_tf64,cnn,0,hb,18,72,0.11332602253296746,0.1179794201251965,0.09838005093074083,9
etard_tf64,cnn,0,lb,18,72,0.09929653980109827,0.09137661549699645,0.08798402539740845,11
etard_tf64,cnn,0,mb,18,72,0.08665657264323746,0.1005624013899741,0.09947751463559619,15
etard_tf64,cnn,42,clean,18,72,0.1311711499577534,0.13040633566219517,0.11095198214574614,10
etard_tf64,cnn,42,fM,18,72,0.16950107741049766,0.17208033157698138,0.12169950572157918,8
etard_tf64,cnn,42,fW,18,72,0.11728628495179533,0.10664251096434457,0.08607249055123029,5
etard_tf64,cnn,42,hb,18,72,0.11411859182419455,0.114897962731426,0.09626995668965423,9
etard_tf64,cnn,42,lb,18,72,0.10566366972205027,0.09536401846655423,0.07751252563252456,3
etard_tf64,cnn,42,mb,18,72,0.08386753575854568,0.09195470179149193,0.08810793154638318,16
etard_tf64,cnn,2026,clean,18,72,0.13747027170498383,0.13398048130517093,0.11278414469709054,7
etard_tf64,cnn,2026,fM,18,72,0.16438906067787906,0.16368505049856522,0.10905382492070549,6
etard_tf64,cnn,2026,fW,18,72,0.12170129570963646,0.13278946815161063,0.08766783661536841,6
etard_tf64,cnn,2026,hb,18,72,0.11490168279921474,0.11457136532001636,0.1002991182773905,11
etard_tf64,cnn,2026,lb,18,72,0.10088197973591545,0.08251275835619162,0.0812250412692292,6
etard_tf64,cnn,2026,mb,18,72,0.07658001496775607,0.0697591010017958,0.08109068025766186,14
etard_tf64,dnn,0,clean,18,72,0.10551688575130463,0.10685206442758542,0.10049288513610508,10
etard_tf64,dnn,0,fM,18,72,0.10556517918657111,0.10428609414021899,0.0927961259252969,9
etard_tf64,dnn,0,fW,18,72,0.07661993397536199,0.08212682376322863,0.079811303424268,11
etard_tf64,dnn,0,hb,18,72,0.06877722952427573,0.0678204275512126,0.09312837499575104,13
etard_tf64,dnn,0,lb,18,72,0.06651260045013342,0.07239773827421217,0.08000545356563364,16
etard_tf64,dnn,0,mb,18,72,0.04343538963312298,0.0471336240364746,0.07456338900655789,23
etard_tf64,dnn,42,clean,18,72,0.11473607250245316,0.12323166437996352,0.09300469438038171,10
etard_tf64,dnn,42,fM,18,72,0.1036402090257697,0.09628830793734838,0.1011144983430143,10
etard_tf64,dnn,42,fW,18,72,0.07585155685494376,0.07453250386680654,0.08006749817095497,13
etard_tf64,dnn,42,hb,18,72,0.06225729458487423,0.06108705067472779,0.08653392467636153,19
etard_tf64,dnn,42,lb,18,72,0.06099175712163751,0.05672944629517801,0.08446806212741066,17
etard_tf64,dnn,42,mb,18,72,0.04366571391985837,0.052696525115166676,0.08301437063928443,25
etard_tf64,dnn,2026,clean,18,72,0.10236862527874876,0.10434091384412811,0.10379015913228105,11
etard_tf64,dnn,2026,fM,18,72,0.10366036926246036,0.11116637961122192,0.09913161750469167,12
etard_tf64,dnn,2026,fW,18,72,0.08065826882852926,0.07108124094956472,0.09234080982018594,13
etard_tf64,dnn,2026,hb,18,72,0.058216186594533065,0.0568709143986699,0.08806354137267815,15
etard_tf64,dnn,2026,lb,18,72,0.059731982528401714,0.05018014281404673,0.07455509626786974,16
etard_tf64,dnn,2026,mb,18,72,0.04234041357458403,0.04903504839825601,0.07835234600617269,23
etard_tf64,eegnet,0,clean,18,72,0.15086408799330997,0.16820183031844405,0.10801251266121717,7
etard_tf64,eegnet,0,fM,18,72,0.18354604082471038,0.19306367624854906,0.11422031501990755,6
etard_tf64,eegnet,0,fW,18,72,0.13783489029990423,0.13191131976034726,0.0886863864796024,5
etard_tf64,eegnet,0,hb,18,72,0.13102996444460668,0.13815193143026644,0.10003482176546802,5
etard_tf64,eegnet,0,lb,18,72,0.11563843730255605,0.10914927601961522,0.07885569106542568,5
etard_tf64,eegnet,0,mb,18,72,0.08584036717219395,0.06929578887534407,0.08900152019412391,14
etard_tf64,eegnet,42,clean,18,72,0.1598229553566279,0.16356247750855396,0.10732451094303906,6
etard_tf64,eegnet,42,fM,18,72,0.17001236559309774,0.1606880350554236,0.11907781290518195,7
etard_tf64,eegnet,42,fW,18,72,0.1333666824153303,0.13118133322858613,0.09190039394783307,7
etard_tf64,eegnet,42,hb,18,72,0.13826555199347773,0.13039044508947545,0.0899700927250197,3
etard_tf64,eegnet,42,lb,18,72,0.119938017235328,0.11888594395526933,0.07796833098053246,5
