dataset,subject_id,model,seed,action,status,job_dir,checkpoint_id,subject_metric,num_recordings,error,source_protocol
weissbart_tf64,P03,cnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P03/cnn/seed_0,cnn_epoch_7,0.15045817846035278,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P03,eegnet,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P03/eegnet/seed_0,eegnet_epoch_26,0.17204582147225905,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P04,ridge,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P04/ridge/seed_0,ridge_alpha_100.0,0.15641946834537293,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P04,cca,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P04/cca/seed_0,cca_nc_4,0.07927436820213123,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P04,fcnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P04/fcnn/seed_0,fcnn_epoch_0,0.0941646004628128,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P04,adt,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P04/adt/seed_0,adt_epoch_1,0.10152927546619955,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P04,dnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P04/dnn/seed_0,dnn_epoch_0,0.09416459974981307,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P04,cnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P04/cnn/seed_0,cnn_epoch_7,0.1597996544040672,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P04,eegnet,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P04/eegnet/seed_0,eegnet_epoch_22,0.1561388287915893,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P05,ridge,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P05/ridge/seed_0,ridge_alpha_1.0,0.15318522294329492,15,,gate0_gate2_full_subject_single_seed_v1
