dataset,model,seed,n_subjects,mean_pearson,std_pearson,median_pearson,min_pearson,max_pearson,fisher_z_mean,backtransformed_mean_r
etard_tf64,adt,0,20,0.10137569567560042,0.043114340270220576,0.09782673053061124,0.029016418840218917,0.18624454274285965,0.10193630505412347,0.10158469269339064
etard_tf64,adt,42,20,0.10315339686476518,0.0392048899427412,0.10283926566679405,0.041126814676882256,0.20881263875074507,0.10370102881525525,0.10333089062455941
etard_tf64,adt,2026,20,0.09813953661517796,0.04065933091249867,0.09155795085896565,0.03781886706436208,0.19266763358568784,0.09864136265639709,0.0983226722436613
etard_tf64,cca,0,20,0.06984979797586677,0.022949799656563904,0.06700963330371551,0.01697478173375066,0.1052584234569652,0.0700003298592545,0.0698862185646309
etard_tf64,cca,42,20,0.06984979797586677,0.022949799656563904,0.06700963330371551,0.01697478173375066,0.1052584234569652,0.0700003298592545,0.0698862185646309
etard_tf64,cca,2026,20,0.06984981843923808,0.022949815922986706,0.0670099726233489,0.01697478173375066,0.1052584234569652,0.07000035046495025,0.06988623906968668
etard_tf64,cnn,0,20,0.0906041913926535,0.040120624564219706,0.09520968706126462,0.009873358774490523,0.14942029236290666,0.09099274461210495,0.09074244328907739
etard_tf64,cnn,42,20,0.09533972929524641,0.039974243461472346,0.09514333174042366,-0.0008232018344522685,0.16727528143236392,0.09578096695474693,0.0954891398025599
etard_tf64,cnn,2026,20,0.09517430001325392,0.03595952290548254,0.09723147377128516,0.013315763388533151,0.15640315936061408,0.09558630861611966,0.09529625280998878
etard_tf64,dnn,0,20,0.06211022377989497,0.020645320816885828,0.058695551303992906,0.024948257824387372,0.10726256598750193,0.06221792814398306,0.06213776893203433
etard_tf64,dnn,42,20,0.05636652969701907,0.027220011368629463,0.05369293586021513,-0.00038384803098833603,0.10768846208326857,0.05646856350748693,0.05640861955259366
etard_tf64,dnn,2026,20,0.05556214626926054,0.029841851218822307,0.05622495875253575,-0.019553416545547177,0.1096041111093589,0.05566516555069978,0.05560774183143859
etard_tf64,eegnet,0,20,0.1028948861372075,0.041844384740981344,0.10579900893284072,0.009582372522697977,0.1796656308468648,0.10343236815681374,0.10306509115685153
etard_tf64,eegnet,42,20,0.10474642425008238,0.03760300518251358,0.107915120253126,0.030859437385103525,0.16967653516807557,0.10527987000042896,0.10489261800878978
