source_dataset,target_dataset,model,seed,stage,n_subjects,mean_pearson,std_pearson,min_pearson,max_pearson
weissbart_tf64,etard_tf64,eegnet,0,cross_dataset_zero_shot_eval,4,0.06983227014459673,0.011688924303997417,0.053457501127396244,0.08548281576210448
etard_tf64,weissbart_tf64,eegnet,0,cross_dataset_zero_shot_eval,3,0.06586572288439119,0.03956076541755672,0.011986955014292117,0.10585845965441815
weissbart_tf64,etard_tf64,eegnet,0,pooled10_target_calibration,4,0.08721414366090581,0.010282792378918397,0.07288826802542933,0.09802822923105892
etard_tf64,weissbart_tf64,eegnet,0,pooled10_target_calibration,3,0.10825005662843162,0.018018292751602483,0.08443098379551334,0.12800032882406204
weissbart_tf64,etard_tf64,fcnn,0,cross_dataset_zero_shot_eval,4,0.04570089594957927,0.023442333054584708,0.01975750069305537,0.08001494385866062
weissbart_tf64,etard_tf64,fcnn,0,pooled10_target_calibration,4,0.06609375144318352,0.02016915583355193,0.038668648791456824,0.08652930938348291
weissbart_tf64,etard_tf64,adt,0,cross_dataset_zero_shot_eval,4,0.05095364554865596,0.026448086028893758,0.01801539080788107,0.08655422782880548
weissbart_tf64,etard_tf64,adt,0,pooled10_target_calibration,4,0.052950100850666634,0.032755339256611844,0.022772748129162176,0.10251267746084405
etard_tf64,weissbart_tf64,fcnn,0,cross_dataset_zero_shot_eval,3,0.041264054102198695,0.03164426713308597,-0.0020310176893113333,0.07271934369139199
etard_tf64,weissbart_tf64,fcnn,0,pooled10_target_calibration,3,0.07677831652464254,0.023739719229279577,0.04346118195082452,0.0970198729924053
etard_tf64,weissbart_tf64,adt,0,cross_dataset_zero_shot_eval,3,0.05832931917974423,0.006559548950330455,0.050567112234642615,0.06660958520370573
etard_tf64,weissbart_tf64,adt,0,pooled10_target_calibration,3,0.08723348960221551,0.00821109351072871,0.07765075596954898,0.0977047769335664
