condition,n,mean_r,median_r,std_r,min_r,max_r
audiobook_sorted,3,0.49064454565258,0.499718669224314,0.0563436902147883,0.430314503680369,0.541900464053056
audiobook_shuffled,3,0.0203376439151788,0.00790251183662435,0.0460380387805284,-0.0182055611783017,0.0713159810872138
olsa_sorted,120,0.29143688538879,0.282986392601606,0.185238342017959,-0.400746500007014,0.648548090153492
olsa_shuffled,12000,0.113146378586524,0.118962578318978,0.193204925596772,-0.577873565890014,0.689093144881044
