model,epoch,train_loss,val_mean_recording_pearson,best_epoch_so_far
eegnet_mag102,1,1.0160876942080492,0.10555906281743295,1
eegnet_mag102,2,0.9807579239320489,0.13463815195061332,2
eegnet_mag102,3,0.9719138088839014,0.1527861751253664,3
eegnet_mag102,4,0.964772854770362,0.16171766025019704,4
eegnet_mag102,5,0.9610867676788202,0.16619712811337142,5
eegnet_mag102,6,0.9549074604191594,0.1810663487484131,6
eegnet_mag102,7,0.9519521355961954,0.18437001125022945,7
eegnet_mag102,8,0.9485637187624777,0.18270560994999224,7
eegnet_mag102,9,0.9447857977291725,0.19878845479127877,9
eegnet_mag102,10,0.9412492746747406,0.19547667307102107,9
eegnet_mag102,11,0.9392612288451062,0.19117622943640444,9
eegnet_mag102,12,0.9376031638190733,0.18943807332134815,9
eegnet_mag102,13,0.9345005669074351,0.20264779305069103,13
eegnet_mag102,14,0.9336965593545796,0.20143663663676065,13
eegnet_mag102,15,0.9312184130013322,0.19906248746558064,13
eegnet_mag102,16,0.9287868373553846,0.21334747293001444,16
eegnet_mag102,17,0.928672177498567,0.19993663311124737,16
eegnet_mag102,18,0.9288294999626096,0.20606944678963018,16
eegnet_mag102,19,0.9246406197214926,0.20821255807193512,16
eegnet_mag102,20,0.9224477934770744,0.20277116268768297,16
eegnet_mag102,21,0.9221335734402001,0.20064772203479342,16
eegnet_mag102,22,0.9235234170652634,0.2128473532132006,16
eegnet_mag102,23,0.9206472563676994,0.18767233442225872,16
eegnet_mag102,24,0.9190264399158222,0.1956842413009255,16
eegnet_mag102,25,0.9186198326795461,0.19280325456435501,16
eegnet_mag102,26,0.9177537741940781,0.20357625747667785,16
