[2026-07-06 21:33:17] source_checkpoint_loaded checkpoint_path=local_checkpoints/loso/eegnet/weissbart_tf64/P01/seed0/best_epoch_18.pt checkpoint_local_id=loso:eegnet:weissbart_tf64:P01:seed0:best_epoch_18
[2026-07-06 21:35:12] finetune_epoch_started epoch=30 max_epochs=100
[2026-07-06 21:35:16] finetune_val_epoch_completed epoch=30 val_score=0.1603805551926295
[2026-07-06 21:35:16] finetune_epoch_started epoch=31 max_epochs=100
[2026-07-06 21:35:20] finetune_val_epoch_completed epoch=31 val_score=0.16197575281063717
[2026-07-06 21:35:20] finetune_epoch_started epoch=32 max_epochs=100
[2026-07-06 21:35:24] finetune_val_epoch_completed epoch=32 val_score=0.15942748089631398
[2026-07-06 21:35:24] finetune_epoch_started epoch=33 max_epochs=100
[2026-07-06 21:35:28] finetune_val_epoch_completed epoch=33 val_score=0.15971303929885228
[2026-07-06 21:35:28] finetune_epoch_started epoch=34 max_epochs=100
[2026-07-06 21:35:32] finetune_val_epoch_completed epoch=34 val_score=0.15989601065715153
[2026-07-06 21:35:32] finetune_epoch_started epoch=35 max_epochs=100
[2026-07-06 21:35:36] finetune_val_epoch_completed epoch=35 val_score=0.15815543482700983
[2026-07-06 21:35:36] finetune_epoch_started epoch=36 max_epochs=100
[2026-07-06 21:35:40] finetune_val_epoch_completed epoch=36 val_score=0.15949131945768993
[2026-07-06 21:35:40] finetune_early_stopping epoch=36 best_epoch=26 best_val_score=0.16233311990896862
[2026-07-06 21:35:40] finetune_checkpoint_saved checkpoint_local_id=finetune:eegnet:weissbart_tf64:P01:seed0:best_epoch_25 checkpoint_path=local_checkpoints/finetune/eegnet/weissbart_tf64/P01/seed0/best_epoch_25.pt best_epoch=25 best_val_score=0.16233311990896862
[2026-07-06 21:36:00] job_completed checkpoint_local_id=finetune:eegnet:weissbart_tf64:P01:seed0:best_epoch_25 loso_subset_metric=0.07957373358593359 finetune_metric=0.11290686684664797 main_delta=0.03333313326071438
