dataset,model,n_seeds,seed_list,mean_of_seed_means,std_of_seed_means,min_seed_mean,max_seed_mean,mean_of_fisher_z_means,backtransformed_mean_r
etard_tf64,adt,3,"0,42,2026",0.10088954305184787,0.0020755652934054433,0.09813953661517796,0.10315339686476518,0.10142623217525859,0.10107985737142655
etard_tf64,cca,3,"0,42,2026",0.06984980479699054,9.64652574940853e-09,0.06984979797586677,0.06984981843923808,0.07000033672781975,0.06988622539964949
etard_tf64,fcnn,3,"0,42,2026",0.057508799473309724,0.003310336923746662,0.0545064762287123,0.062120754752264765,0.057613487897353786,0.0575498266685749
etard_tf64,ridge,3,"0,42,2026",0.1034136378789839,1.660311194069247e-07,0.1034135204772535,0.10341387268244476,0.1039562992161737,0.10358342876696511
weissbart_tf64,adt,3,"0,42,2026",0.1313679519790499,0.0036330245068918474,0.12652103226855665,0.1352674970593222,0.1323930882423425,0.13162494777187522
weissbart_tf64,cca,3,"0,42,2026",0.08938459326420561,0.0,0.08938459326420561,0.08938459326420561,0.08967939234857107,0.08943975091725277
weissbart_tf64,fcnn,3,"0,42,2026",0.09319634889250006,0.0027566653751501845,0.09069164253440018,0.0970359091623331,0.09360706489700114,0.09333461591520976
weissbart_tf64,ridge,3,"0,42,2026",0.13318080735374047,0.0,0.13318080735374047,0.13318080735374047,0.13408715561156645,0.1332892924987115
