dataset,subject_id,model,seed,action,status,job_dir,checkpoint_id,subject_metric,num_recordings,error,source_protocol
weissbart_tf64,P06,adt,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P06/adt/seed_0,adt_epoch_2,0.11759718002086622,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P07,ridge,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P07/ridge/seed_0,ridge_alpha_10.0,0.13858419702944305,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P07,cca,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P07/cca/seed_0,cca_nc_2,0.11135284179342281,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P07,fcnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P07/fcnn/seed_0,fcnn_epoch_1,0.1261473819149195,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P07,adt,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P07/adt/seed_0,adt_epoch_1,0.11841530013922809,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P08,ridge,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P08/ridge/seed_0,ridge_alpha_100.0,0.10332106633028906,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P08,cca,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P08/cca/seed_0,cca_nc_4,0.10176183935137799,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P08,fcnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P08/fcnn/seed_0,fcnn_epoch_1,0.08469970304270623,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P08,adt,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P08/adt/seed_0,adt_epoch_29,0.06968193262957317,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P09,ridge,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P09/ridge/seed_0,ridge_alpha_10.0,0.14148315889106838,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P09,cca,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P09/cca/seed_0,cca_nc_4,0.1166026776245573,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P09,fcnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P09/fcnn/seed_0,fcnn_epoch_2,0.11950139632887627,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P09,adt,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P09/adt/seed_0,adt_epoch_2,0.17893387249741985,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P10,ridge,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P10/ridge/seed_0,ridge_alpha_100.0,0.13112665731121304,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P10,cca,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P10/cca/seed_0,cca_nc_4,0.09218244704746066,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P10,fcnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P10/fcnn/seed_0,fcnn_epoch_2,0.06012010503899434,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P10,adt,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P10/adt/seed_0,adt_epoch_7,0.0956011076730103,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P11,ridge,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P11/ridge/seed_0,ridge_alpha_10.0,0.1506067789566798,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P11,cca,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P11/cca/seed_0,cca_nc_4,0.08922455910492093,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P11,fcnn,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P11/fcnn/seed_0,fcnn_epoch_1,0.09074733462673669,15,,gate0_gate2_full_subject_single_seed_v1
weissbart_tf64,P11,adt,0,reuse_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P11/adt/seed_0,adt_epoch_2,0.1626934130193955,15,,gate0_gate2_full_subject_single_seed_v1
