dataset,model,seed,n_subjects,mean_pearson,std_pearson,median_pearson,min_pearson,max_pearson,fisher_z_mean,backtransformed_mean_r
etard_tf64,adt,0,20,0.10137569567560042,0.043114340270220576,0.09782673053061124,0.029016418840218917,0.18624454274285965,0.10193630505412347,0.10158469269339064
etard_tf64,adt,42,20,0.10315339686476518,0.0392048899427412,0.10283926566679405,0.041126814676882256,0.20881263875074507,0.10370102881525525,0.10333089062455941
etard_tf64,adt,2026,20,0.09813953661517796,0.04065933091249867,0.09155795085896565,0.03781886706436208,0.19266763358568784,0.09864136265639709,0.0983226722436613
etard_tf64,cca,0,20,0.06984979797586677,0.022949799656563904,0.06700963330371551,0.01697478173375066,0.1052584234569652,0.0700003298592545,0.0698862185646309
etard_tf64,cca,42,20,0.06984979797586677,0.022949799656563904,0.06700963330371551,0.01697478173375066,0.1052584234569652,0.0700003298592545,0.0698862185646309
etard_tf64,cca,2026,20,0.06984981843923808,0.022949815922986706,0.0670099726233489,0.01697478173375066,0.1052584234569652,0.07000035046495025,0.06988623906968668
etard_tf64,fcnn,0,20,0.062120754752264765,0.020509779266656574,0.05859739233812628,0.024303849912917456,0.10726215165344466,0.0622281715209308,0.06214797275176039
etard_tf64,fcnn,42,20,0.0545064762287123,0.03007508559220648,0.055872536990445934,-0.0017803735682439276,0.10763018326766471,0.054608691187434256,0.05455447283458963
etard_tf64,fcnn,2026,20,0.0558991674389521,0.03003343171667664,0.05622495875253575,-0.02159621578407775,0.1096041111093589,0.0560036009836963,0.05594512438500244
etard_tf64,ridge,0,20,0.1034135204772535,0.039369566913306495,0.09687943884584563,0.044848313231063586,0.175744230213875,0.10395618810741081,0.10358331885034538
etard_tf64,ridge,42,20,0.1034135204772535,0.039369566913306495,0.09687943884584563,0.044848313231063586,0.175744230213875,0.10395618810741081,0.10358331885034538
etard_tf64,ridge,2026,20,0.10341387268244476,0.0393669487020556,0.09687943884584563,0.044848313231063586,0.175744230213875,0.10395652143369946,0.10358364860019692
weissbart_tf64,adt,0,13,0.1352674970593222,0.043033190009359804,0.11841530013922809,0.06968193262957317,0.20621424426632606,0.13637248171827598,0.13553332995890854
weissbart_tf64,adt,42,13,0.13231532660927092,0.043025829999681554,0.142945988064525,0.07370236670586854,0.20470608768357818,0.1333502878929558,0.13256544503533474
weissbart_tf64,adt,2026,13,0.12652103226855665,0.044353468442113644,0.13594003800438886,0.042914473945972045,0.20658832498179866,0.12745649511579568,0.12677076703577259
weissbart_tf64,cca,0,13,0.08938459326420561,0.02497670940855209,0.09218244704746066,0.04335437285897882,0.1363743607291315,0.08967939234857106,0.08943975091725276
weissbart_tf64,cca,42,13,0.08938459326420561,0.02497670940855209,0.09218244704746066,0.04335437285897882,0.1363743607291315,0.08967939234857106,0.08943975091725276
weissbart_tf64,cca,2026,13,0.08938459326420561,0.02497670940855209,0.09218244704746066,0.04335437285897882,0.1363743607291315,0.08967939234857106,0.08943975091725276
weissbart_tf64,fcnn,0,13,0.09186149498076686,0.03913556703621983,0.09301722644919923,0.0022999500064735407,0.17704273413877203,0.09226280140390958,0.09200189636395614
weissbart_tf64,fcnn,42,13,0.09069164253440018,0.04178746850232008,0.1027934334669891,0.00261080492535098,0.17910841032020988,0.09110315112654438,0.09085193959774783
weissbart_tf64,fcnn,2026,13,0.0970359091623331,0.03482539622282805,0.0990324419127542,0.014364226850250643,0.1553552080151553,0.09745524216054946,0.09714788193117516
weissbart_tf64,ridge,0,13,0.13318080735374047,0.02944324137936911,0.14148315889106838,0.06673353980209834,0.17372779956779152,0.13408715561156645,0.1332892924987115
weissbart_tf64,ridge,42,13,0.13318080735374047,0.02944324137936911,0.14148315889106838,0.06673353980209834,0.17372779956779152,0.13408715561156645,0.1332892924987115
weissbart_tf64,ridge,2026,13,0.13318080735374047,0.02944324137936911,0.14148315889106838,0.06673353980209834,0.17372779956779152,0.13408715561156645,0.1332892924987115
