dataset,model,task,protocol,seed,subject_id,metric_name,metric_value,num_recordings,checkpoint_id,artifact_scope
weissbart_tf64,ridge,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P02,mean_recording_pearson_r,0.1461383795288638,15,ridge_alpha_100.0,full_subject_single_seed_validation
weissbart_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P02,mean_recording_pearson_r,0.04335437285897882,15,cca_nc_4,full_subject_single_seed_validation
weissbart_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P02,mean_recording_pearson_r,0.11458896569910054,15,fcnn_epoch_3,full_subject_single_seed_validation
weissbart_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P02,mean_recording_pearson_r,0.142945988064525,15,adt_epoch_12,full_subject_single_seed_validation
weissbart_tf64,ridge,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P03,mean_recording_pearson_r,0.15328675079009205,15,ridge_alpha_100.0,full_subject_single_seed_validation
weissbart_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P03,mean_recording_pearson_r,0.09235633099448197,15,cca_nc_4,full_subject_single_seed_validation
weissbart_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P03,mean_recording_pearson_r,0.13286296021175023,15,fcnn_epoch_2,full_subject_single_seed_validation
weissbart_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P03,mean_recording_pearson_r,0.15161635786511152,15,adt_epoch_1,full_subject_single_seed_validation
weissbart_tf64,ridge,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P04,mean_recording_pearson_r,0.15641946834537293,15,ridge_alpha_100.0,full_subject_single_seed_validation
weissbart_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P04,mean_recording_pearson_r,0.07927436820213123,15,cca_nc_4,full_subject_single_seed_validation
weissbart_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P04,mean_recording_pearson_r,0.08493477592500125,15,fcnn_epoch_2,full_subject_single_seed_validation
weissbart_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P04,mean_recording_pearson_r,0.08221304040818346,15,adt_epoch_3,full_subject_single_seed_validation
weissbart_tf64,ridge,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P05,mean_recording_pearson_r,0.15318522294329492,15,ridge_alpha_1.0,full_subject_single_seed_validation
weissbart_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P05,mean_recording_pearson_r,0.09124425320427514,15,cca_nc_4,full_subject_single_seed_validation
weissbart_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P05,mean_recording_pearson_r,0.056697345175727436,15,fcnn_epoch_3,full_subject_single_seed_validation
weissbart_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P05,mean_recording_pearson_r,0.16307278899629732,15,adt_epoch_5,full_subject_single_seed_validation
weissbart_tf64,ridge,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P06,mean_recording_pearson_r,0.06673353980209834,15,ridge_alpha_10.0,full_subject_single_seed_validation
weissbart_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P06,mean_recording_pearson_r,0.04920611017410582,15,cca_nc_1,full_subject_single_seed_validation
weissbart_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P06,mean_recording_pearson_r,0.00261080492535098,15,fcnn_epoch_12,full_subject_single_seed_validation
weissbart_tf64,adt,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P06,mean_recording_pearson_r,0.10931358221886854,15,adt_epoch_6,full_subject_single_seed_validation
weissbart_tf64,ridge,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P07,mean_recording_pearson_r,0.13858419702944305,15,ridge_alpha_10.0,full_subject_single_seed_validation
weissbart_tf64,cca,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P07,mean_recording_pearson_r,0.11135284179342281,15,cca_nc_2,full_subject_single_seed_validation
weissbart_tf64,fcnn,reconstruction,gate0_gate2_full_subject_single_seed_v1,42,P07,mean_recording_pearson_r,0.1027934334669891,15,fcnn_epoch_0,full_subject_single_seed_validation
