dataset,model,task,protocol,seed,subject_id,recording_id,sampling_rate,metric_name,metric_value,num_valid_samples,checkpoint_id,artifact_scope
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_eegnet_full_manual_v1,0,P01,test_-_P01_-_AUNP01,64,pearson_r,0.17902344737326248,990,eegnet_epoch_18,subject_independent_loso_eegnet_full_manual_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_eegnet_full_manual_v1,0,P01,test_-_P01_-_AUNP02,64,pearson_r,0.0835947386809414,970,eegnet_epoch_18,subject_independent_loso_eegnet_full_manual_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_eegnet_full_manual_v1,0,P01,test_-_P01_-_AUNP03,64,pearson_r,0.09744884819381928,890,eegnet_epoch_18,subject_independent_loso_eegnet_full_manual_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_eegnet_full_manual_v1,0,P01,test_-_P01_-_AUNP04,64,pearson_r,0.2072611720459101,870,eegnet_epoch_18,subject_independent_loso_eegnet_full_manual_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_eegnet_full_manual_v1,0,P01,test_-_P01_-_AUNP05,64,pearson_r,0.1254546944633951,1191,eegnet_epoch_18,subject_independent_loso_eegnet_full_manual_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_eegnet_full_manual_v1,0,P01,test_-_P01_-_AUNP06,64,pearson_r,0.22411079850777202,894,eegnet_epoch_18,subject_independent_loso_eegnet_full_manual_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_eegnet_full_manual_v1,0,P01,test_-_P01_-_AUNP07,64,pearson_r,-0.21752115227857532,1134,eegnet_epoch_18,subject_independent_loso_eegnet_full_manual_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_eegnet_full_manual_v1,0,P01,test_-_P01_-_AUNP08,64,pearson_r,0.018705848056341234,1104,eegnet_epoch_18,subject_independent_loso_eegnet_full_manual_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_eegnet_full_manual_v1,0,P01,test_-_P01_-_BROP01,64,pearson_r,-0.02957061307968608,1017,eegnet_epoch_18,subject_independent_loso_eegnet_full_manual_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_eegnet_full_manual_v1,0,P01,test_-_P01_-_BROP02,64,pearson_r,-0.051048162627008765,1120,eegnet_epoch_18,subject_independent_loso_eegnet_full_manual_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_eegnet_full_manual_v1,0,P01,test_-_P01_-_BROP03,64,pearson_r,0.042735457976533955,1000,eegnet_epoch_18,subject_independent_loso_eegnet_full_manual_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_eegnet_full_manual_v1,0,P01,test_-_P01_-_FLOP01,64,pearson_r,0.1443603238618896,779,eegnet_epoch_18,subject_independent_loso_eegnet_full_manual_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_eegnet_full_manual_v1,0,P01,test_-_P01_-_FLOP02,64,pearson_r,0.08081924976574387,699,eegnet_epoch_18,subject_independent_loso_eegnet_full_manual_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_eegnet_full_manual_v1,0,P01,test_-_P01_-_FLOP03,64,pearson_r,0.07239780648659877,655,eegnet_epoch_18,subject_independent_loso_eegnet_full_manual_v1
weissbart_tf64,eegnet,reconstruction,gate0_gate2_loso_eegnet_full_manual_v1,0,P01,test_-_P01_-_FLOP04,64,pearson_r,0.21600174400117023,1213,eegnet_epoch_18,subject_independent_loso_eegnet_full_manual_v1
