dataset,model,condition,n_subjects,n_recordings,mean_pearson,median_pearson,std_pearson,negative_recording_count
etard_tf64,ridge,clean,18,72,0.11528847929668151,0.12311609604383475,0.10982850028604352,11
etard_tf64,ridge,fM,18,72,0.11188053450720974,0.10108429693283938,0.10385402717969533,11
etard_tf64,ridge,fW,18,72,0.07836484271989254,0.08741563804109345,0.09037605710482939,12
etard_tf64,ridge,hb,18,72,0.06787935984462483,0.05887981099210092,0.09725985446562488,15
etard_tf64,ridge,lb,18,72,0.0799011820810778,0.08261543347238884,0.06363582622054349,7
etard_tf64,ridge,mb,18,72,0.040475529856185556,0.04778237546436934,0.09883813570161303,26
