dataset,model,model_family,n_subjects,loso_mean_pearson,subject_specific_mean_pearson,delta_loso_minus_subject_specific
etard_tf64,ridge,linear_ridge,20,0.062337722387509134,0.1034135204772535,-0.04107579808974436
weissbart_tf64,ridge,linear_ridge,13,0.06546612238229374,0.13318080735374047,-0.06771468497144671
