dataset,subject_id,model,seed,fingerprint,action,status,job_dir,checkpoint_id,subject_metric,num_recordings,error
weissbart_tf64,P06,fcnn,0,1721fc4d0d580811b62933d52b3420af0eec97e3,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P06/fcnn/seed_0,fcnn_epoch_6,0.0022999500064735407,15,
weissbart_tf64,P06,adt,0,1b3ec96897e047e2473bafa38fc7adf480318afc,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P06/adt/seed_0,adt_epoch_2,0.11759718002086622,15,
weissbart_tf64,P07,ridge,0,14ac1de161707619e4f8660f7452a1cb14afd563,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P07/ridge/seed_0,ridge_alpha_10.0,0.13858419702944305,15,
weissbart_tf64,P07,cca,0,56cfc1f45b43f1a70f55a81c778bd2a9e27c70cf,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P07/cca/seed_0,cca_nc_2,0.11135284179342281,15,
weissbart_tf64,P07,fcnn,0,32f22ed8bd525175c69dbe6d0468dd2e4e987431,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P07/fcnn/seed_0,fcnn_epoch_1,0.1261473819149195,15,
weissbart_tf64,P07,adt,0,a6e74c272a617199798b356c22777bee26ab6363,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P07/adt/seed_0,adt_epoch_1,0.11841530013922809,15,
weissbart_tf64,P08,ridge,0,aa9f5c1cde338b52aca58d29f9d9da660fe21e64,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P08/ridge/seed_0,ridge_alpha_100.0,0.10332106633028906,15,
weissbart_tf64,P08,cca,0,1948017c728041621a0e846632295971a5cbe36b,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P08/cca/seed_0,cca_nc_4,0.10176183935137799,15,
weissbart_tf64,P08,fcnn,0,2092f0e2dcf61fa12df9127806309898c5e624be,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P08/fcnn/seed_0,fcnn_epoch_1,0.08469970304270623,15,
weissbart_tf64,P08,adt,0,a1be1712f1dbf10706ec9c36b2143ff502577b0f,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P08/adt/seed_0,adt_epoch_29,0.06968193262957317,15,
weissbart_tf64,P09,ridge,0,0bf0bba121a2c1ac9f4b329168ad4fc4d7dab8b0,skip_existing,success,experiments/gate0_gate2_full_subject_single_seed/jobs/weissbart_tf64/P09/ridge/seed_0,ridge_alpha_10.0,0.14148315889106838,15,
