dataset,model,n_subjects,mean_pearson,std_pearson,median_pearson,min_pearson,max_pearson,fisher_z_mean,backtransformed_mean_r
etard_tf64,adt,20,0.10137569567560042,0.043114340270220576,0.09782673053061124,0.029016418840218917,0.18624454274285965,0.10193630505412347,0.10158469269339064
etard_tf64,cca,20,0.06984979797586677,0.022949799656563904,0.06700963330371551,0.01697478173375066,0.1052584234569652,0.0700003298592545,0.0698862185646309
etard_tf64,fcnn,20,0.062120754752264765,0.020509779266656574,0.05859739233812628,0.024303849912917456,0.10726215165344466,0.0622281715209308,0.06214797275176039
etard_tf64,ridge,20,0.1034135204772535,0.039369566913306495,0.09687943884584563,0.044848313231063586,0.175744230213875,0.10395618810741081,0.10358331885034538
weissbart_tf64,adt,13,0.1352674970593222,0.043033190009359804,0.11841530013922809,0.06968193262957317,0.20621424426632606,0.13637248171827598,0.13553332995890854
weissbart_tf64,cca,13,0.08938459326420561,0.02497670940855209,0.09218244704746066,0.04335437285897882,0.1363743607291315,0.08967939234857106,0.08943975091725276
weissbart_tf64,fcnn,13,0.09186149498076686,0.03913556703621983,0.09301722644919923,0.0022999500064735407,0.17704273413877203,0.09226280140390958,0.09200189636395614
weissbart_tf64,ridge,13,0.13318080735374047,0.02944324137936911,0.14148315889106838,0.06673353980209834,0.17372779956779152,0.13408715561156645,0.1332892924987115
