dataset,model,seed,split_id,stage,n_subjects,mean_pearson,std_pearson,min_pearson,max_pearson
weissbart_tf64,eegnet,0,subject_holdout_fixed_split_v1,zero_shot,3,0.08114962659027194,0.03332162904944735,0.04903786329944087,0.1270739269673292
weissbart_tf64,eegnet,0,subject_holdout_fixed_split_v1,pooled10_finetune,3,0.105439599424621,0.020898891197633645,0.08722591937715904,0.1347043628107003
weissbart_tf64,fcnn,0,subject_holdout_fixed_split_v1,zero_shot,3,0.05715018265507315,0.015255285214229888,0.036066387177557016,0.07165323762978566
weissbart_tf64,fcnn,0,subject_holdout_fixed_split_v1,pooled10_finetune,3,0.07071162387880277,0.023599045454288686,0.04743495363724411,0.10306275423295604
weissbart_tf64,adt,0,subject_holdout_fixed_split_v1,zero_shot,3,0.06779785629885647,0.020499083748360642,0.03883982846690649,0.08345717519510694
weissbart_tf64,adt,0,subject_holdout_fixed_split_v1,pooled10_finetune,3,0.07198977844216277,0.02848582288697664,0.04131686219983915,0.10994353779967576
etard_tf64,eegnet,0,subject_holdout_fixed_split_v1,zero_shot,4,0.06647777409789285,0.02672613509573392,0.036217927110087256,0.10722998973466269
etard_tf64,eegnet,0,subject_holdout_fixed_split_v1,pooled10_finetune,4,0.0969949883848766,0.013951991710020019,0.07464175826520257,0.11277036520652653
etard_tf64,fcnn,0,subject_holdout_fixed_split_v1,zero_shot,4,0.052386643041207256,0.01287678425428139,0.03868495000172718,0.07348902113451153
etard_tf64,fcnn,0,subject_holdout_fixed_split_v1,pooled10_finetune,4,0.07231389756000282,0.01578034136049466,0.04910267586817607,0.0923788908414939
etard_tf64,adt,0,subject_holdout_fixed_split_v1,zero_shot,4,0.06172327093294985,0.02813584480937097,0.028686535452176965,0.106456231154562
etard_tf64,adt,0,subject_holdout_fixed_split_v1,pooled10_finetune,4,0.06654808893662616,0.0362132367024516,0.02816890533125194,0.12572694694996403
