dataset,subject_id,model,seed,source_config,source_result_dir,dataset_dir,source_metric,train_recordings,val_recordings,test_recordings,adapter_status,manual_command
weissbart_tf64,P06,vlaai,0,configs/benchmark/gate0_gate2_subject_specific_local_models_weissbart_full_v1.json,experiments/gate0_gate2_subject_specific_local_models_weissbart_full_v1,E:\decode\data\processed\reference_splits\weissbart_tf64,-0.00432094181859644,train_-_P06_-_AUNP01;train_-_P06_-_AUNP02;train_-_P06_-_AUNP03;train_-_P06_-_AUNP04;train_-_P06_-_AUNP05;train_-_P06_-_AUNP06;train_-_P06_-_AUNP07;train_-_P06_-_AUNP08;train_-_P06_-_BROP01;train_-_P06_-_BROP02;train_-_P06_-_BROP03;train_-_P06_-_FLOP01;train_-_P06_-_FLOP02;train_-_P06_-_FLOP03;train_-_P06_-_FLOP04,val_-_P06_-_AUNP01;val_-_P06_-_AUNP02;val_-_P06_-_AUNP03;val_-_P06_-_AUNP04;val_-_P06_-_AUNP05;val_-_P06_-_AUNP06;val_-_P06_-_AUNP07;val_-_P06_-_AUNP08;val_-_P06_-_BROP01;val_-_P06_-_BROP02;val_-_P06_-_BROP03;val_-_P06_-_FLOP01;val_-_P06_-_FLOP02;val_-_P06_-_FLOP03;val_-_P06_-_FLOP04,test_-_P06_-_AUNP01;test_-_P06_-_AUNP02;test_-_P06_-_AUNP03;test_-_P06_-_AUNP04;test_-_P06_-_AUNP05;test_-_P06_-_AUNP06;test_-_P06_-_AUNP07;test_-_P06_-_AUNP08;test_-_P06_-_BROP01;test_-_P06_-_BROP02;test_-_P06_-_BROP03;test_-_P06_-_FLOP01;test_-_P06_-_FLOP02;test_-_P06_-_FLOP03;test_-_P06_-_FLOP04,ok,F:\miniconda\envs\decode-torch\python.exe scripts\run_gate0_gate2_negative_metric_audit_v1.py --config configs\benchmark\gate0_gate2_negative_metric_audit_v1.json --device auto --run-diagnostics
etard_tf64,P11,happyquokka,0,configs/benchmark/gate0_gate2_subject_specific_modelset_etard_full_v1.json,experiments/gate0_gate2_subject_specific_modelset_etard_full_v1,E:\decode\data\processed\reference_splits\etard_tf64,-0.0001975521606870697,train_-_P11_-_cleanDutch_part_1;train_-_P11_-_cleanDutch_part_2;train_-_P11_-_cleanDutch_part_3;train_-_P11_-_cleanDutch_part_4;train_-_P11_-_hbDutch_part_1;train_-_P11_-_hbDutch_part_2;train_-_P11_-_hbDutch_part_3;train_-_P11_-_hbDutch_part_4;train_-_P11_-_lbDutch_part_1;train_-_P11_-_lbDutch_part_2;train_-_P11_-_lbDutch_part_3;train_-_P11_-_lbDutch_part_4;train_-_P11_-_mbDutch_part_1;train_-_P11_-_mbDutch_part_2;train_-_P11_-_mbDutch_part_3;train_-_P11_-_mbDutch_part_4,val_-_P11_-_cleanDutch_part_1;val_-_P11_-_cleanDutch_part_2;val_-_P11_-_cleanDutch_part_3;val_-_P11_-_cleanDutch_part_4;val_-_P11_-_hbDutch_part_1;val_-_P11_-_hbDutch_part_2;val_-_P11_-_hbDutch_part_3;val_-_P11_-_hbDutch_part_4;val_-_P11_-_lbDutch_part_1;val_-_P11_-_lbDutch_part_2;val_-_P11_-_lbDutch_part_3;val_-_P11_-_lbDutch_part_4;val_-_P11_-_mbDutch_part_1;val_-_P11_-_mbDutch_part_2;val_-_P11_-_mbDutch_part_3;val_-_P11_-_mbDutch_part_4,test_-_P11_-_cleanDutch_part_1;test_-_P11_-_cleanDutch_part_2;test_-_P11_-_cleanDutch_part_3;test_-_P11_-_cleanDutch_part_4;test_-_P11_-_hbDutch_part_1;test_-_P11_-_hbDutch_part_2;test_-_P11_-_hbDutch_part_3;test_-_P11_-_hbDutch_part_4;test_-_P11_-_lbDutch_part_1;test_-_P11_-_lbDutch_part_2;test_-_P11_-_lbDutch_part_3;test_-_P11_-_lbDutch_part_4;test_-_P11_-_mbDutch_part_1;test_-_P11_-_mbDutch_part_2;test_-_P11_-_mbDutch_part_3;test_-_P11_-_mbDutch_part_4,ok,F:\miniconda\envs\decode-torch\python.exe scripts\run_gate0_gate2_negative_metric_audit_v1.py --config configs\benchmark\gate0_gate2_negative_metric_audit_v1.json --device auto --run-diagnostics
etard_tf64,P11,elasticnet,0,configs/benchmark/gate0_gate2_subject_specific_modelset_etard_full_v1.json,experiments/gate0_gate2_subject_specific_modelset_etard_full_v1,E:\decode\data\processed\reference_splits\etard_tf64,-0.0021333631940971577,train_-_P11_-_cleanDutch_part_1;train_-_P11_-_cleanDutch_part_2;train_-_P11_-_cleanDutch_part_3;train_-_P11_-_cleanDutch_part_4;train_-_P11_-_hbDutch_part_1;train_-_P11_-_hbDutch_part_2;train_-_P11_-_hbDutch_part_3;train_-_P11_-_hbDutch_part_4;train_-_P11_-_lbDutch_part_1;train_-_P11_-_lbDutch_part_2;train_-_P11_-_lbDutch_part_3;train_-_P11_-_lbDutch_part_4;train_-_P11_-_mbDutch_part_1;train_-_P11_-_mbDutch_part_2;train_-_P11_-_mbDutch_part_3;train_-_P11_-_mbDutch_part_4,val_-_P11_-_cleanDutch_part_1;val_-_P11_-_cleanDutch_part_2;val_-_P11_-_cleanDutch_part_3;val_-_P11_-_cleanDutch_part_4;val_-_P11_-_hbDutch_part_1;val_-_P11_-_hbDutch_part_2;val_-_P11_-_hbDutch_part_3;val_-_P11_-_hbDutch_part_4;val_-_P11_-_lbDutch_part_1;val_-_P11_-_lbDutch_part_2;val_-_P11_-_lbDutch_part_3;val_-_P11_-_lbDutch_part_4;val_-_P11_-_mbDutch_part_1;val_-_P11_-_mbDutch_part_2;val_-_P11_-_mbDutch_part_3;val_-_P11_-_mbDutch_part_4,test_-_P11_-_cleanDutch_part_1;test_-_P11_-_cleanDutch_part_2;test_-_P11_-_cleanDutch_part_3;test_-_P11_-_cleanDutch_part_4;test_-_P11_-_hbDutch_part_1;test_-_P11_-_hbDutch_part_2;test_-_P11_-_hbDutch_part_3;test_-_P11_-_hbDutch_part_4;test_-_P11_-_lbDutch_part_1;test_-_P11_-_lbDutch_part_2;test_-_P11_-_lbDutch_part_3;test_-_P11_-_lbDutch_part_4;test_-_P11_-_mbDutch_part_1;test_-_P11_-_mbDutch_part_2;test_-_P11_-_mbDutch_part_3;test_-_P11_-_mbDutch_part_4,ok,F:\miniconda\envs\decode-torch\python.exe scripts\run_gate0_gate2_negative_metric_audit_v1.py --config configs\benchmark\gate0_gate2_negative_metric_audit_v1.json --device auto --run-diagnostics
