dataset,subject_id,model,seed,recording_id,zero_lag_pearson,num_valid_samples,zero_lag_r,best_lag_samples,best_lag_r,lag_sign_convention,lag_sweep_policy,prediction_hash,target_hash,job_key
weissbart_tf64,P06,vlaai,0,test_-_P06_-_FLOP02,-0.08513767553892684,699,-0.08513767553892684,-109,0.361853390189732,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",8d537cb43cc2ab8ce40cb32da8aa1f19022dc2662e5196a3f4ef1d5511947a61,1b9448ae643a3ef57489de6098236e8c0111558193420128cbfac5a4c33acd7b,weissbart_tf64:P06:vlaai:seed0
weissbart_tf64,P06,vlaai,0,test_-_P06_-_FLOP03,0.11620760987870518,655,0.11620760987870518,117,0.27758239276327334,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",842d53222b20c3c1df7bd947fcec5912a383d8d54f3b787356497964ec080ea7,36377c164389452894e9ad32efb6239c77faac9f30f16148f4ad3c48907eebea,weissbart_tf64:P06:vlaai:seed0
weissbart_tf64,P06,vlaai,0,test_-_P06_-_FLOP04,-0.062082203968453015,1213,-0.062082203968453015,128,0.13278732794404316,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",1b1e1f5a1fe5afb60f8cc92ad30210abaa828cee4f78b11892b7aaecae7eb518,8266d29a471626c0cacd858cc7a9ffa2ea0892204f08a291fe9e3e79168be6bf,weissbart_tf64:P06:vlaai:seed0
etard_tf64,P11,happyquokka,0,test_-_P11_-_cleanDutch_part_1,0.016679853169300225,640,0.016679853169300225,-59,0.1526642110710491,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",9d1ffb95985b323658695fc6ba0b5fb8a2eb21139f95e2361fcdb90dbc515a53,a462fa3f814d470e22ca4e0092d1601c1a7c6f6e992047fb346c2f2297e631ab,etard_tf64:P11:happyquokka:seed0
etard_tf64,P11,happyquokka,0,test_-_P11_-_cleanDutch_part_2,0.05278212040011084,640,0.05278212040011084,127,0.1605844376491198,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",dca9a9b7222cfb115e53457462ac625679ddbefc5c523ae13c832fa1d7354866,a7de4cc694f275e4ea535b12f8f3f1adc390cfa1f34a1605218319257322263c,etard_tf64:P11:happyquokka:seed0
etard_tf64,P11,happyquokka,0,test_-_P11_-_cleanDutch_part_3,-0.13989957213527088,640,-0.13989957213527088,20,0.1707125465776581,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",9f3902596b37a27f34548961a7c78f7b05ffb1ced6392b17f18d1b6c3c1aad7f,8f48cc79532e0a693526319584e4f763077bf7f5d5afdc58ac5123e7ba593a21,etard_tf64:P11:happyquokka:seed0
etard_tf64,P11,happyquokka,0,test_-_P11_-_cleanDutch_part_4,0.14357685587310798,640,0.14357685587310798,-125,0.2139176980895017,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",7466316ca9081057ced0cb4b7ef01d9c42d242a6fa631068cabe1ec55b02c86f,5c4513b3efca79b89a4fd528f4bef687b043f1a281d6164f55546671b68f99f8,etard_tf64:P11:happyquokka:seed0
etard_tf64,P11,happyquokka,0,test_-_P11_-_hbDutch_part_1,-0.12465601153045623,640,-0.12465601153045623,-101,0.16671124200640555,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",d9eaa247e9184fb5b5312012f55aa2b660411243d771e1d0f002ec16670d7140,06afae8ba38e031574e5e9033f721c8d2203033a828352234490dd72989e0902,etard_tf64:P11:happyquokka:seed0
etard_tf64,P11,happyquokka,0,test_-_P11_-_hbDutch_part_2,-0.020749357577669884,640,-0.020749357577669884,-127,0.18284523073257855,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",063b70258a5a43b71901e2cf9ed38ea94f68fa79d782c9cd50b7003d26b74073,f76afda7e9f1df1994a1a0db35b6b8f174f36e73ee3ec333a5ac3a75e88e727f,etard_tf64:P11:happyquokka:seed0
etard_tf64,P11,happyquokka,0,test_-_P11_-_hbDutch_part_3,0.04378688836372831,640,0.04378688836372831,-39,0.14957485030274106,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",2efc6be60d713411c7760492832c8a1caa330545cb2359c2a535087009bc2949,63d12f0de7a99db8c852424812fc4a28124e8c209ca343d662e5b5aa76acf2fd,etard_tf64:P11:happyquokka:seed0
etard_tf64,P11,happyquokka,0,test_-_P11_-_hbDutch_part_4,-0.0397013150432751,640,-0.0397013150432751,43,0.22506920308028613,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",717a56e02d726ef299b1bbb4eb193b906a50ffc28b60f4d04455331e8faf07fc,28fdef4fa84efc0f4871a7aa1480091db40c1333817a80d7a50f49b36b9ee706,etard_tf64:P11:happyquokka:seed0
etard_tf64,P11,happyquokka,0,test_-_P11_-_lbDutch_part_1,-0.029116729895096113,640,-0.029116729895096113,-76,0.13658151690363965,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",aa576bf54d65378bb80f9e6221b209629f7463c88d8c9cc5c51fcecdadf88be5,e538dea1bee93df9fa165d72b600ddbb1d6be7709c7040ae910dd08a8b57a5a7,etard_tf64:P11:happyquokka:seed0
etard_tf64,P11,happyquokka,0,test_-_P11_-_lbDutch_part_2,0.02054175842542521,640,0.02054175842542521,73,0.22609743585937447,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",a413777972ce044ca5af9700fd325805e1ccab4dfecd6449f69ba6aa1104ac84,546df69f40e43aa0903a0c262b43b4706f77b56d5b9763f143f970eb82a0c7e8,etard_tf64:P11:happyquokka:seed0
etard_tf64,P11,happyquokka,0,test_-_P11_-_lbDutch_part_3,-0.02714658702714122,640,-0.02714658702714122,35,0.2538343568917268,positive lag means prediction[t] is compared with target[t+lag],"diagnostic only; not used for checkpoint, hyperparameter, or final score selection",dd5d32bc820ada2f6349ffa62013452786e4e4e942b9e710b1d2170151706106,8461b58edc686b42829572e5cb1e35beb6c6c7ca998b22f91739f1dfc2b6e400,etard_tf64:P11:happyquokka:seed0
