model,class_name,source_path,source_sha256,config,initial_state_hash,fixed_input_output_hash,status
fcnn,repro.simple_models.FCNNBaseline,src/repro/simple_models.py,043312e7489a13efde1df086f6d55a4e2f7215b0a035999356d854a7ae9c5073,"{""architecture_id"": ""fcnn_baseline"", ""batch_size"": 256, ""dropout_rate"": 0.45, ""early_stopping_patience"": 10, ""hidden_layers"": 3, ""implementation_file"": ""src/repro/simple_models.py::FCNNBaseline"", ""learning_rate"": 0.0001, ""max_epochs"": 100, ""target_index"": ""last"", ""weight_decay"": 0.0001, ""window_size"": 50}",1a8883beabbec88df73169ea74413c3692320608ac5c666bbabb4f3e37aa6547,c57904650650555592f24ff0e4708b1de5f0f0d2f07738181423f17013b29c98,ok
dnn,pipeline.dnn.FCNN,E:\decode\external\upstream\mldecoders\pipeline\dnn.py,e3bb98ce95486c217d7b18e4b32ec6fd8c6db3d767e47906c7b80e72e9301371,"{""architecture_id"": ""upstream_fcnn_subject_specific"", ""batch_size"": 256, ""dropout_rate"": 0.45, ""early_stopping_patience"": 10, ""hidden_layers"": 3, ""implementation_file"": ""external/upstream/mldecoders/pipeline/dnn.py::FCNN"", ""learning_rate"": 0.0001, ""max_epochs"": 100, ""target_index"": ""last"", ""weight_decay"": 0.0001, ""window_size"": 50}",dedad61e31fa22807411d9945b16280d4c313b5b8c71570427e87099c124f52a,c57904650650555592f24ff0e4708b1de5f0f0d2f07738181423f17013b29c98,ok
