dataset,model,mean_across_seeds,std_across_seeds,min_seed_mean,max_seed_mean
etard_tf64,adt,0.10088954305184787,0.0020755652934054433,0.09813953661517796,0.10315339686476518
etard_tf64,cca,0.06984980479699054,9.64652574940853e-09,0.06984979797586677,0.06984981843923808
etard_tf64,cnn,0.09370607356705125,0.0021944014339101156,0.0906041913926535,0.09533972929524641
etard_tf64,dnn,0.0580129665820582,0.0029157498273608327,0.05556214626926054,0.06211022377989497
etard_tf64,eegnet,0.10430241324403737,0.0010176183971118585,0.1028948861372075,0.10526592934482218
etard_tf64,fcnn,0.057508799473309724,0.003310336923746662,0.0545064762287123,0.062120754752264765
etard_tf64,ridge,0.1034136378789839,1.660311194069247e-07,0.1034135204772535,0.10341387268244476
weissbart_tf64,adt,0.1313679519790499,0.0036330245068918474,0.12652103226855665,0.1352674970593222
weissbart_tf64,cca,0.08938459326420561,0.0,0.08938459326420561,0.08938459326420561
weissbart_tf64,cnn,0.12465585381692688,0.0062920737630644185,0.115929565655191,0.13052704615581795
weissbart_tf64,dnn,0.09368308230631572,0.0018837630598800019,0.09177099322466188,0.09624560791037304
weissbart_tf64,eegnet,0.14221933487001945,0.002805395346488434,0.1392591880724037,0.14598709548030803
weissbart_tf64,fcnn,0.09319634889250006,0.0027566653751501845,0.09069164253440018,0.0970359091623331
weissbart_tf64,ridge,0.13318080735374047,0.0,0.13318080735374047,0.13318080735374047
