native_index_1based,channel_label,sensor_type,is_magnetometer,is_gradiometer,mag102_index_1based
253,MEG2231,megmag,1,0,85
254,MEG2232,megplanar,0,1,
255,MEG2233,megplanar,0,1,
256,MEG2241,megmag,1,0,86
257,MEG2242,megplanar,0,1,
258,MEG2243,megplanar,0,1,
259,MEG2311,megmag,1,0,87
260,MEG2312,megplanar,0,1,
261,MEG2313,megplanar,0,1,
262,MEG2321,megmag,1,0,88
263,MEG2322,megplanar,0,1,
264,MEG2323,megplanar,0,1,
265,MEG2331,megmag,1,0,89
266,MEG2332,megplanar,0,1,
267,MEG2333,megplanar,0,1,
268,MEG2341,megmag,1,0,90
269,MEG2342,megplanar,0,1,
270,MEG2343,megplanar,0,1,
271,MEG2411,megmag,1,0,91
272,MEG2412,megplanar,0,1,
273,MEG2413,megplanar,0,1,
274,MEG2421,megmag,1,0,92
275,MEG2422,megplanar,0,1,
276,MEG2423,megplanar,0,1,
277,MEG2431,megmag,1,0,93
278,MEG2432,megplanar,0,1,
279,MEG2433,megplanar,0,1,
280,MEG2441,megmag,1,0,94
281,MEG2442,megplanar,0,1,
282,MEG2443,megplanar,0,1,
283,MEG2511,megmag,1,0,95
284,MEG2512,megplanar,0,1,
285,MEG2513,megplanar,0,1,
286,MEG2521,megmag,1,0,96
287,MEG2522,megplanar,0,1,
288,MEG2523,megplanar,0,1,
289,MEG2531,megmag,1,0,97
290,MEG2532,megplanar,0,1,
291,MEG2533,megplanar,0,1,
292,MEG2541,megmag,1,0,98
293,MEG2542,megplanar,0,1,
294,MEG2543,megplanar,0,1,
295,MEG2611,megmag,1,0,99
296,MEG2612,megplanar,0,1,
297,MEG2613,megplanar,0,1,
298,MEG2621,megmag,1,0,100
299,MEG2622,megplanar,0,1,
300,MEG2623,megplanar,0,1,
301,MEG2631,megmag,1,0,101
302,MEG2632,megplanar,0,1,
303,MEG2633,megplanar,0,1,
304,MEG2641,megmag,1,0,102
305,MEG2642,megplanar,0,1,
306,MEG2643,megplanar,0,1,
